Preset Name;Freq Min;Freq Max;FFT Bin Width;Freq Shift;Amplitude Offset
AM radio;1;21;10;0;0
AM radio SV;2;21;10;-120;7
CB radio;26;28;3;0;5
PMR 40;28;46;20;0;-3
PMR 80;50;87;50;0;-2
FM radio;88;108;20;0;3
Aviatic;108;144;50;0;0
PMR 160;144;162;20;0;3
DAB+;174;240;50;0;2
TETRA;380;430;50;0;0
ISM 433;431;435;3;0;12
PMR 450;435;470;50;0;0
DVB-T;470;694;200;0;-5
700 uplink;703;733;50;0;0
700 downlink;758;788;50;0;0
800 downlink;791;821;50;0;0
800 uplink;832;862;50;0;0
ISM 868;863;870;3;0;12
900 uplink;875;915;50;0;0
900 downlink;920;960;50;0;0
ADS-B;1088;1092;3;0;11
GPS L2;1217;1238;20;0;3
DAB+2;1452;1492;50;0;0
GPS L1;1565;1585;20;0;5
1800 uplink;1710;1785;50;0;0
1800 downlink;1805;1880;50;0;0
DECT;1880;1900;10;0;5
2100 TDD;1900;1915;20;0;3
2100 uplink;1920;1980;50;0;0
2100 downlink;2110;2170;50;0;0
Wi-Fi 2.4;2400;2483;100;0;-1
2600 uplink;2500;2570;50;0;2
2600 TDD;2570;2620;50;0;2
2600 downlink;2620;2690;50;0;2
RADAR;2740;2770;50;0;3
3500 TDD;3400;3600;200;0;-3
3700 TDD;3600;3800;200;0;-3
Wi-Fi 5;5120;5880;500;0;-7
SAT TV lo;10700;11700;1000;9750;-10
SAT TV hi;11700;12700;1000;10600;-10